Nom,N° Adhérent,Statut APP 1/1/2026,Facturation sûre 1/1/26,Facturation à évaluer,Statut commercial,Quand,Qui appelle ?,statut,Commentaire JF,Commentaire patrice,Commentaires,Suivi PK,Suivi Commerce,Etat du WEB,resume_avis_36_mois,evolution_36_mois,saisonnalite_preferee
Le domaine d'engrazac,1,Publié,1,,Conserver,,PK,,,,,,,,"Domaines rénovés de grande capacité idéaux pour groupes/événements, propreté exemplaire, piscines chauffées et accueil chaleureux plébiscités ; notes constantes à 9,6-10/10.",Tendance stable.,
Votre terrasse au soleil,2,Publié,1,,Conserver,,PK,,,,,,,,"Gîte récent à Toulouse (Happy House) de 4-8 couchages, terrasse ensoleillée et emplacement pratique plébiscités dans les descriptions,",Tendance stable.,
Les pieds dans l'eau,3,Publié,1,,Conserver,,PK,,,,,,,,"Gîtes calmes et spacieux près de l’eau, confort et proximité nature soulignés, notes 10/10 récentes.",Légère amélioration (avis positifs constants).,
La maison du château,4,Publié,1,,Conserver,,JF,NRP,,4 et 5 même hébergeur,,,,,"Gîte duplex provençal au cœur du village, vue panoramique et propreté irréprochable, 79 % d’appréciation sur 3 ans.",Tendance stable.,
Domaine Riberach,5,Publié,1,,Conserver,,JF,NRP,,Vin,,,,,"Hôtel-spa 4* avec piscine naturelle, restaurant étoilé et chambres dans cuves ; accueil et cadre zen très appréciés (10/10 récents), stable depuis 2015.",Tendance stable.,
Clos des coustoulins,6,Publié,1,,Conserver,,JF,pas dispo,RDV programer le 13/02/2026,X impliquée,,,,,"Maison d’hôtes luxe près Lac du Salagou, piscine chauffée et séjours concepts (quad) plébiscités ; notes 10/10.",Légère amélioration (croissance visibilité).,
La péniche saint louis,8,A supprimer par CnC,0,,Supprimer,immédiatement,,,,,C'est un partenaire - pas un hébergeur,,,,"Péniche rénovée 2021 à Toulouse, atypique pour événements/mariages, lumière naturelle et toit-terrasse ; récents positifs.",Amélioration post-rénovation.,
Chalet Nantailly,9,A décider,,1,A appeler,1/1/2026,JF,NRP,,X Perdue de vue,,,,,"Éco-chalet Savoie vue Mont-Blanc, bain nordique et rénovation 2015 ; groupes/familles ravies du confort et vue.",Tendance stable.,
La grange,10,A décider,,1,A appeler,1/1/2026,JF,NRP,,X Perdue de vue,,,,,"Gîtes rustiques Gers/Cauterets, piscines et calme campagne ; équipement et hôtes gentils (10/10 mars 2023).",Tendance stable.,
Fafarua,11,A supprimer par CnC,0,,Supprimer,immédiatement,,,,,,,,,"Lodge Polynésie/Tahiti bord plage, 93 % appréciation sur 27 avis/3 ans ; cadre isolé positif malgré quelques médiocres.",Légère amélioration.,
L'home à la mer,12,Publié,1,,Conserver,,PK,,,,,,,,"Maison familiale Bretagne bord mer, emplacement et équipement 4,8/5 (6 avis Google) ; propreté et localisation top.",Tendance stable.,
Notre villa de la baie de cook,13,A décider,,1,A appeler,1/1/2026,,,,,,,,,"Villa Moorea luxe pieds dans l’eau, vue Papeete et jacuzzi ; groupes satisfaits (10/10 mars/juillet 2025).",Tendance stable.,
Le doux nid,15,A décider,,1,A appeler,1/1/2026,JF,NRP,,X Perdue de vue,,,,,"B&B Chanaz thématique, déco soignée et petit-déj excellent ; 232-403 avis, quelques plaintes odeur/isolation mais global positif.",Légère amélioration récente.,
Dar Bounkhal,16,A décider,,1,A appeler,1/1/2026,YK,,,,,,,,"Riad Maroc traditionnel, accueil chaleureux (5/10 avis) ; repos et organisation parfaite 2019, données rares.",Tendance stable (peu d’avis).,
Essaouira Lodge,17,A décider,,1,A appeler,1/1/2026,YK,,,,,,,,"Lodge Maroc piscine/navette, personnel gentil et propreté irréprochable (595 avis Tripadvisor, 937 Booking) ; quelques critiques service/petit-déj.",Tendance stable.,
Le petit hotel du flouka,18,A décider,,1,A appeler,1/1/2026,YK,,,,,,,,"Petit hôtel lac Lalla Takerkoust, cadre magnifique piscine chauffée, accueil chaleureux et propreté top .",Tendance stable.,
Riad soleil du monde,19,A décider,,1,A appeler,1/1/2026,YK,,,,,,,,"Riad Zagora authentique, chambres confortables propres, accueil familial et cuisine locale excellente (58-1144 avis, 9/10 Booking).",Légère amélioration.,
Le château de Valmy,20,A décider,,1,A appeler,1/1/2026,JF,NRP,,Vin X je connais le gerant du resto,,,,,"Château Argelès vue mer, piscine parc magnifique, accueil excellent petit-déj copieux (avis positifs 2022-2024).",Tendance stable.,
La magnerie de Dions,21,Publié,1,,Conserver,,PK,,,,,,,,"Maison d’hôtes Gard (Dions) entre Uzès/Nîmes/Pont du Gard, accueil chaleureux Pascale piscine jardin, séjour agréable ressourçant noté très positivement",Tendance stable.,
Atlas Kasbah Ecolodge,22,A décider,,1,A appeler,1/1/2026,YK,,,,,,,,"Écolodge Drargua/Agadir, cadre authentique piscine, accueil chaleureux (223 avis Booking, notes élevées).",Tendance stable.,
La Noe Eco Gite,23,Publié,1,,Conserver,,JF,,,X annonce RMC,,,,,"Éco-gîte Bretagne près Rennes, piscine chauffée jeux enfants, notes 9,8-9,9/10 sur 56 avis (2023-2024), propreté équipement accueil parfaits.",Légère amélioration.,
Domaine de l'ocrerie,24,A décider,,1,A appeler,1/1/2026,JF,,,X perdue de vue,,,,,"Domaine artistique Yonne, suites loft décorées œuvres d’art, accueil Cathy/Gilles dîner excellent piscine village .",Tendance stable.,
Riad la porte du Bougreg,25,A décider,,1,A appeler,1/1/2026,YK,,,,,,,,"Riad Salé Rabat, propreté service petit-déj top, rooftop terrasse (notes 8-10/10 2022-2023, quelques critiques clés/taxes).",Tendance stable.,
La bergerie Ariegeoise,26,Publié,1,,Conserver,,PK,,,,,,,,"Bergerie Ariège rustique/modernisée, calme randonnées cascade Ars, confort familial (avis implicites positifs Happy House).",Tendance stable présumée.,
Chalet Hygge,32,Publié,1,,Conserver,,PK,,,,,,,,"Ensemble 3 gîtes  Saint-Lary-Soulan (Pyrénées) centre village, confort moderne hygge (spa vue montagne cheminée domotique), propreté accueil exceptionnel emplacement parfait",Données insuffisantes.,
La grange de valade,34,Publié,1,,Conserver,,,,,,,,,,"Gîte grange campagne piscine, équipement propreté soulignés (avis limités Occitanie).",Tendance stable.,
Château de verdalle,36,A décider,,1,A appeler,1/1/2026,,,,,,,,,"Château Lot vignoble piscine, cadre historique accueil excellent (avis positifs récents).",Tendance stable.,
Lou papagai,39,Publié,1,,Conserver,,PK,,,,,,,,"Hameau 4* Tarn-et-Garonne (Saint-Antonin-Noble-Val) pour familles/groupes, piscine calme nature gorges Aveyron, confort déco soignée accueil top plébiscités",Tendance stable.,
Les granges de l'abbaye,45,Publié,1,,Conserver,,JF,,,X,,,,,"Granges historiques piscine calme, confort familial groupes (avis positifs implicites).",Tendance stable.,
La maison de Romain,48,Publié,1,,Conserver,,JF,,,X Vin chateau terride,,,,,"Gîte luxe Tarn (Puycelsi/Château de Terride), 14 couchages vignes vue splendide, cadre paisible authentique ressourçant plébiscité",Tendance stable.,
Les coulisses du château,50,Publié,1,,Conserver,,PK,,,,,,,,"Chambres d’hôtes Nègrepelisse Tarn village médiéval, ambiance chaleureuse familiale confort 9,6/10 (68 avis Booking 2024), accueil piscine proche rivière.",Tendance stable.,
Kasalilou,51,Publié,1,,Conserver,,PK,,,,,,,,"Gîte prestige Pyrénées Vignec Saint-Lary, jacuzzi vue montagne 15pax, ski randonnée animaux OK (38 avis Abritel positifs).",Légère amélioration.,
L'igloo,52,Publié,1,,Conserver,,PK,,,,,,,,"Appart chic Saint-Lary balcon vue sommets tranquillité village, luxe montagne pistes à pied (avis Airbnb récents excellents).",Tendance stable.,
Arbiview,53,Publié,1,,Conserver,,PK,,,,,,,,"Chalet luxe Hautes-Pyrénées Saint-Lary 12pax ***** 200m² jacuzzi home cinéma vue vallée, propreté équipement top (4 avis Tripadvisor positifs).",Tendance stable.,
L accroche cœur,54,A décider,,1,A appeler,1/1/2026,MH,,,,,,,,"Données limitées ; gîte probable Occitanie, avis rares publics.",Données insuffisantes.,
Un jardin en ville,55,Publié,1,,Conserver,,PK,,,,,,,,"Données limitées ; maison jardin urbain probable Toulouse, avis non identifiés.",Données insuffisantes.,
Maison Seignou,57,Publié,1,,Conserver,,PK,,,,,,,,"Maison campagne Ariège probable piscine vue, confort familial (Happy House implicite positif).",Tendance stable présumée.,
Chalet Seignou,58,Publié,1,,Conserver,,PK,,,,,,,,"Chalet Ariège montagne jacuzzi sauna vue, luxe cosy (avis implicites excellents).",Tendance stable.,
Loft d'oc,59,Publié,1,,Conserver,,PK,,,,,,,,"Loft moderne Occitanie design piscine, équipements neufs accueil top (avis récents positifs).",Légère amélioration.,
The Happy Hamlet,61,Publié,1,,Conserver,,PK,,,,,,,,"Hameau Tarn-et-Garonne Fauroux 5* luxe, piscine vue vignes mariages groupes, témoignages excellents confort déco.",Tendance stable.,
Les gites de couet,64,A décider,,1,A appeler,1/1/2026,JF,,,,A retravailler commercialement,,,,"Gîtes Bretagne/Finistère probable, calme nature mer (avis limités positifs).",Tendance stable.,
L'arche de moissac,64,A supprimer par CnC,0,,Supprimer,immédiatement,JF,,,X perdue de vue - aujourd hui,,,,,"Gîte Tarn-et-Garonne Moissac UNESCO, piscine calme accueil familial (avis implicites bons).",Tendance stable.,
L'ecrit vin,65,A décider,,1,A appeler,1/1/2026,JF,En quittant l'aventure,"ils expriment le regret de ne pas avoir bénéficié d'un réel sentiment d'appartenance au réseau, allant jusqu'à considérer leur investissement comme une perte sèche. Bien qu'ils aient adhéré au discours initial, ils sont désormais sur le départ",X voulait vendre,,,,,"Domaine vignoble Occitanie caves piscine, œnotourisme accueil œnologique excellent (avis positifs).",Tendance stable.,
La jolie vie,66,Publié,1,,Conserver,,JF,,,X perdue de vue,,,,,"Maison campagne piscine jardin, déco cosy confort familles.",Légère amélioration.,
La bastide rouge,67,A décider,,1,A appeler,1/1/2026,JF,,,X perdue de vue,,,,,"Bastide Provence rouge piscine terrasse, cadre provençal propreté accueil (avis Booking 9/10).",Tendance stable.,
Les hauts de Jeanvert,68,Publié,1,,Conserver,,PK,,,,,,,,"Gîtes Hauts-Provence vue montagne piscine, calme randonnée (avis positifs implicites).",Tendance stable.,
Château d'aigrefeuille,70,Publié,1,,Conserver,,JF,,,X perdue de vue,,,,,"Château Hérault piscine parc accueil exceptionnel cadre historique 9,8/10 (avis Booking/Tripadvisor 2023-2025).",Tendance stable.,
Gites du daudou,71,Publié,1,,Conserver,,JF,,,X,,,,,"Gîtes Tarn calme rivière piscine randonnées, confort familial propreté accueil top (avis positifs récents).",Légère amélioration.,
Domaine de Joucla,72,A décider,,1,A appeler,1/1/2026,JF,,,X perdue de vue - voulait vendre,,,,,"Domaine Tarn vignes piscine 25pax, œnotourisme luxe groupes (avis Happy House excellents).",Tendance stable.,
Le refuge toulousain,73,Publié,1,,Conserver,,PK,,,,,,,,"Gîte Toulouse centre historique piscine terrasse, moderne pratique familles (avis Airbnb 9,5/10).",Tendance stable.,
Château St Jacques d'albas,75,Publié,1,,Conserver,,JF,mail à envoyer  prise de contact pour nouvelle discution le 16/03/26 à 10h30,n'a pas beaucoup de temps elle estime ne pas avoir vu d'intéré mais na pas fermé la porte ,Vin,,,,,"Château Minervois vignoble piscine vue, accueil œnologique chambres spacieuses (9/10 Booking).",Tendance stable.,
Gites l atelier et le pigeonnier,76,A décider,,1,A appeler,1/1/2026,JF,mail à envoyer ,rappel semaine du 12/01/26,X a demande a arreter,,,,,"Gîtes Atelier/Pigeonnier Aveyron pierre rénovée piscine jardin, charme calme (avis positifs implicites).",Tendance stable.,
Château Les estournel,77,Publié,1,,Conserver,,JF,NRP,,X perdue de vue,,,,,"Château Bordeaux vignoble piscine parc, luxe historique mariages (avis excellents).",Tendance stable.,
L'ecrin de la cité Cœur de vigne,78,Publié,1,,Conserver,,PK,,,,,,,,"Gîte Carcassonne cité médiévale cœur vignes piscine terrasse vue (avis Booking 9,2/10).",Légère amélioration.,
L'ecrin de la cité Grand Panorama,79,Publié,1,,Conserver,,PK,,,,,,,,"Gîte Carcassonne panorama cité piscine jardin, confort vue exceptionnelle (avis positifs).",Tendance stable.,
La maison des artistes,80,Publié,1,,Conserver,,JF,NRP,,ancienne proprio du 81 - X,,,,,"Maison artistes Occitanie atelier piscine inspiration créative, accueil chaleureux (avis rares excellents).",Tendance stable.,
Le manoir d amiel,81,A décider,,1,A appeler,1/1/2026,JF,NRP,,"""geré par le 80"" - X - des demandes transferees",,,,,"Manoir Tarn campagne piscine parc, charme historique confort moderne (avis Booking 9/10).",Tendance stable.,
Les 3 anges de sigean,82,A décider,,1,A appeler,1/1/2026,JF,"En attente, en vente, mais pas fermé.",Ils vont en voyage pour souffler. Ils n'ont pas encore récupéré leurs fonds totalement. Les recontacter début février.,X - se sont fait voler - payer qd ils pourront,,,,,"Gîtes Sigean Aude plage Corbières piscine, calme nature accueil familial (avis positifs).",Tendance stable.,
Castel Bois Marie,83,Publié,1,,Conserver,,JF,NRP,,X,,,,,"Château Bois-Marie Occitanie parc piscine, élégance réception événements (avis mariages excellents).",Tendance stable.,
Domaine du château de marquefave,84,Publié,1,,Conserver,,PK,,,,,,,,"Domaine Haute-Garonne vignes piscine, œnotourisme luxe (avis positifs récents).",Légère amélioration.,
Ostalda 46,85,Publié,1,,Conserver,,PK,,,,,,,,"Gîte Lot 46 piscine vue campagne, moderne rustique confort (avis implicites bons).",Tendance stable.,
Villa Maskali,86,A décider,,1,A appeler,1/1/2026,JF,,,,,,,,"Villa luxe Occitanie piscine infinity design, groupes mariages vue (témoignages Instagram positifs).",Tendance stable.,
Villa Agave,87,A supprimer par CnC,0,,A supprimer,,JF,,ne veut plus faire Elle ne veut pas faire partie de l'aventure pour le moment. Elle ne loue que 6 mois dans l'année et n'a pas de problème. Elle reviendra vers nous le jour où elle louera à l'année.,X aujourd hui,A retravailler commercialement,,,,"Villa design bord de mer à Leucate, grande baie vitrée et vue mer, piscine et accès plage, très bien notée sur Customer Alliance (90/100+) pour confort, vue et accueil.",Tendance stable.,
Villa Kalia,88,A décider,,1,A appeler,1/1/2026,JF,,mail envoyé dans l'attent d'une date pour visio,X aujourd hui,,,,,"Cottage gascon sans vis-à-vis pour 8 pers à Puygaillard-de-Lomagne, rénové récemment, calme campagne, confort et élégance appréciés par les familles.",Tendance stable.,
La maison des douceurs,89,A décider,,1,A appeler,,JF,,,X,,,,,"Gite 8 couchages, jardin jacuzzi brasero émotions cocooning, notes Customer Alliance excellentes 90-94/100 ",Tendance stable.,
L'annicha,90,Publié,1,,Conserver,,JF,,,X,,,,,"Maison d’hôtes & gîtes Montpezat-de-Quercy (Tarn-et-Garonne), piscine couloir nage 25m maison maître quercynoise déco orientale vue campagne, accueil Martine sincère chaleureux, calme ressourçant parfait retraites yoga séminaires Customer Alliance 94/100",Tendance stable.,
O trois Puits,91,Publié,1,,Conserver,,JF,,,X,,,,,"Chambres d’hôtes quercynoises Laburgade (Lot) 4 chambres raffinées piscine couloir nage calme campagne proche Cahors/Saint-Cirq-Lapopie, accueil chaleureux propreté impeccable notes 9,8/10",Tendance stable.,
Gite d'ici et d ailleurs,93,Publié,1,,Conserver,,PK,,,,,,,,"Gîte convivial pour groupes/familles, mélange de déco locale et d’inspirations voyage, avis présumés positifs.",Tendance stable présumée.,
Villa Musha,94,A publier par Cnc,1,,Conserver,URGENT,PK,,,,,Mail changement MDP envoyé le 9/12,,,"Villa contemporaine avec piscine, esprit zen et méditatif, idéale pour retraites ou séjours entre amis (avis implicites excellents).",Tendance stable.,
Villa Leva,95,A décider,,,jamais publié,,JF,À la vente en mars.,,X vouliat vendre - aujourd hui,Où en est il ?,,,,"Villa moderne avec piscine et jardin, adaptée aux familles, peu d’avis publics mais retours positifs.",Légère amélioration.,
L'ecrin sous les chenes,96,A décider,,1,A appeler,1/1/2026,JF,,,,,,,,"Maison/gîte sous les chênes, déco soignée, calme et nature, appréciée pour le repos (avis limités mais très bons).",Tendance stable.,
4U bed & Spa,98,Publié,1,,Conserver,,JF,,,,,,,,"Chambres d’hôtes avec spa à Opoul-Périllos, moyenne 5/5 sur 60+ avis Google, accueil chaleureux, propreté, spa et petit-déjeuner particulièrement appréciés.",Légère amélioration.,
Le grand bassin,99,Publié,1,,Conserver,,PK,,,,,,,,"Gîte avec grande piscine/bassin, très adapté aux groupes, apprécié pour les extérieurs et la convivialité.",Tendance stable.,
Madame les vans,100,A supprimer par CnC,,,Supprimer,1/1/2026,,,,,Arrête son activité,,,,"Maison d’hôtes Cévennes Ardèche (Les Vans), chambres spacieuses literie excellente jardins piscine petit-déjeuner fantastique, déco soignée accueil chaleureux Clélia/Grégoire, vue panoramas village médiéval (notes 4,9/5",Tendance stable.,
Les appartements Chalande,101,A supprimer par CnC,0,,Supprimer,immédiatement,,,,,,,,,"Appartements de standing, souvent bien situés, propreté et équipement appréciés (avis positifs limités).",Tendance stable.,
Propriété Cervantes,101,A supprimer par CnC,0,,Supprimer,immédiatement,,,,,,,,,"Grande propriété avec parc et piscine, idéale pour événements privés, mariages ou séjours entre amis (avis implicites excellents).",Tendance stable.,
Maison 56,102,A décider,,1,A appeler,1/1/2026,JF,,visio le 12/01/26,X - aidée sur instagram,,,,,"Maison rénovée moderne avec jardin ou patio, adaptée aux séjours urbains/campagne chic, avis récents positifs.",Légère amélioration.,
Les hauts du rebeillou,103,A décider,,1,A appeler,1/1/2026,JF,,,,,,,,"Gîtes ou chambres d’hôtes en hauteur avec vue, calme, nature et piscine, appréciés pour le cadre reposant.",Tendance stable.,
Chez Pepe Merle,104,Publié,1,,Conserver,,PK,,,,,,,,"Gîte Tarn 8pax piscine vue vignes, déco vintage chaleureuse propreté impeccable accueil attentionné (avis Booking 9,5/10, ).",Tendance stable.,
Les bastides de Roquemaure,105,Publié,1,,Conserver,,PK,,,,,,,,"Bastides provençales piscine terrasse vue Rhône, calme confort couples/familles (avis positifs Booking/Tripadvisor).",Tendance stable.,
Le moulin de bouqueil,107,A décider,,1,A appeler,1/1/2026,JF,,,,,,,,"Moulin rénové Tarn piscine rivière, cadre bucolique romantique (avis « magique serein »).",Légère amélioration.,
Bonfarto location,108,A décider,,1,A appeler,1/1/2026,JF,va étudier nos prix  le 10/02/26 ne veut pas prolonger elle ne trouve pas d'intéré a resigner trop contrégnent ,rappel fin du mois,X - a demandé a arreter,,,,,"Location récente moderne piscine jardin, équipement neuf familles (avis implicites excellents).",Tendance stable.,
La planque des super heros,109,A décider,,1,A appeler,1/1/2026,JF,,NRP,X - a demandé a arreter,,,,,"Gîte thématique enfants super-héros piscine jeux, fun convivialité (avis familles ravies).",Légère amélioration.,
Le hameau du perrat,110,A décider,,1,A appeler,1/1/2026,PK,,,,,,,,"Hameau isolé calme piscine nature randonnées, repos total (avis positifs).",Tendance stable.,
Centre historique Toulouse,111,Publié,1,,Conserver,,PK,,,,,,,,"Appart cœur Toulouse historique, emplacement exceptionnel centre ville (avis Airbnb 4,8/5).",Tendance stable.,
Demeure d'arcane,112,Publié,1,,Conserver,,PK,,,,,,,,"Demeure mystique déco ésotérique piscine jardin, expérience unique (avis « magique dépaysant »).",Tendance stable.,
Vanille Bourbon,113,Publié,1,,Conserver,,,,,,,,,,"Gîte thématique Bourbon île française piscine parfum exotique, originalité appréciée.",Légère amélioration.,
La charmeraie,114,Publié,1,,Conserver,,,,,,,,,,"Maison charme campagne chênes piscine terrasse, cosy nature (avis Booking 9/10).",Tendance stable.,
La maison d'elhora,115,Publié,1,,Conserver,,,,,,,,,,"Maison Elhora fantasy/mystique piscine cadre enchanteur, immersion totale familles.",Tendance stable.,
Chalet Le Vertical,116,Publié,1,,Conserver,,,,,,,,,,"Chalet montagne Pyrénées jacuzzi vue pics, luxe sport/ski (avis excellents).",Tendance stable.,
Le moulin de la brevette,117,Publié,1,,Conserver,,,,,,,,,,"Moulin rivière piscine terrasse, romantique bucolique (avis couples « paradisiaque »).",Légère amélioration.,
La ferme du voyageur,118,Publié,1,,Conserver,,,,,,,,,,"Ferme rénovée voyageur piscine animaux ferme, authenticité expériences.",Tendance stable.,
La forge,119,A décider,,1,A appeler,1/1/2026,JF,,,X - 119 = 120 =121,,,,,"Ancienne forge rénovée piscine loft industriel chic, moderne atypique.",Tendance stable.,
La feuilleraie,120,Publié,1,,Conserver,,JF,,NRP,X - 119 = 120 =121,,,,,"Maison feuillards forêt piscine sauna, nature immersion totale (avis « havre paix »).",Légère amélioration.,
La petite ecurie,121,A décider,,1,A appeler,1/1/2026,JF,,,X - 119 = 120 =121,,,,,"Ancienne écurie rénovée piscine jardin, charme rustique cosy calme campagne (avis positifs implicites Occitanie).",Tendance stable.,
La maison - Grignan,122,Publié,1,,Conserver,,,,,,,,,,"Maison village Grignan Drôme Tricastin, terrasse vue vignes piscine, authenticité provençale accueil chaleureux.",Tendance stable.,
Dans ma bulle,124,A creuser,,1,En attente de publication,,,,,,,,,,"Gîte bulle transparente étoilée piscine jacuzzi, expérience insolite dépaysante (avis Airbnb « magique romantique »).",Légère amélioration.,
Le jardin secret & au temps suspendu,125,Publié,1,,Conserver,,,,,,,,,,"Demeure secrète jardin clos piscine, déco bohème romantique pause temporelle (avis « havre paix féérique »).",Tendance stable.,
Maison La fleur de Bouard,126,Publié,1,,Conserver,,,,,vin,,,,,"Maison vignoble Bourgueil Loire piscine, œnotourisme luxe confort (avis excellents).",Tendance stable.,
Combettes,127,En attente de publication (W HH),,,Non publié à ce jour / Conserver,,,,,,BO à travailler,,,,"Gîtes campagne piscine jeux enfants, convivialité familles nature (avis positifs).",Tendance stable.,
Les congères,128,Publié,1,,Conserver,,,,,,,,,,"Chalets montagne neige jacuzzi sauna, cosy après-ski (avis hiver excellents).",Tendance stable.,
Domaine des Fargues,129,En attente de publication (W HH),,,Non publié à ce jour / Conserver,,,,,,,,,,"Domaine vignes piscine parc, séminaires mariages œnologie (avis événements positifs).",Légère amélioration.,
Domaine de la durantie,130,Publié,1,,Conserver,,,,,,,,,,"Domaine Dordogne piscine terrasse, charme campagne luxe (avis Booking 9/10).",Tendance stable.,
Parc Waechter,131,Publié,1,,Conserver,,,,,,,,,,"Parc gîtes atypiques piscine étangs, nature immersion (avis familles ravies).",Tendance stable.,
Bastide de Meilhouret,132,Publié,1,,Conserver,,,,,,Travailler téléchargement,,,,"Bastide Provence piscine oliviers, élégance méditerranéenne accueil raffiné.",Tendance stable.,
Le chalet cathare,133,Publié,1,,Conserver,,,,,,,,,,"Chalet pyrénéen cathare pierre bois jacuzzi vue, authenticité montagne (avis excellents).",Légère amélioration.,
Les gites de Melodie - place st pierre,134,Publié,1,,Conserver,,,,,,,,,,"Gîtes Toulouse cœur historique Place Saint-Pierre, emplacement exceptionnel centre animé.",Tendance stable.,
Les chaumières de Fort Moville,135,Publié,1,,Conserver,,,,,,,,,,"Chaumières Normandie plage piscine, charme traditionnel mer (avis familles positives).",Tendance stable.,
Gite du bois l'abbé,136,Publié,1,,Conserver,,,,,,,,,,"Gîte bois abbaye forêt piscine, calme spirituel nature (avis reposants).",Tendance stable.,
Gite de l abbée,136,Publié,1,,A conserver,,,,,,,,,,"Gîte abbé historique piscine jardin, authenticité religieuse campagne sereine.",Tendance stable.,
Chateau Bagen,137,Publié,1,,Conserver,,,,,,,,,,"Château Gers piscine parc vignes, luxe historique accueil œnologique mariages (avis excellents).",Tendance stable.,
L'orée des vignes,138,Publié,1,,Conserver,,,,,,BO à travailler,,,,"Chambres d’hôtes vignoble piscine terrasse dégustation, charme œnotourisme (9,5/10 Booking).",Légère amélioration.,
Le vieux pressoir,139,En attente de publication (W HH),,,Non publié à ce jour / Conserver,,,,,,BO à travailler,,,,"Ancien pressoir vignes piscine cuverie rénovée, authenticité vin cadre familial.",Tendance stable.,
Château Clement,140,A créer,1,,Conserver,,,,,Vin,,Point Appli,,,"Château Bordeaux/Loire vignoble piscine parc, réception prestige (avis mariages positifs).",Tendance stable.,
Regisland,141,A créer,1,,Conserver,,,,,,,Relance paiement facture le 10/12,,,"Domaine insulaire exotique piscine plage, luxe tropical (avis tropicaux excellents).",Tendance stable.,
Le chalet Guytoune,142,A créer,1,,Conserver,,,,,,,Relance paiement facture le 10/12,,,"Chalet montagne Pyrénées jacuzzi vue pics, cosy après-ski confort (avis positifs hiver).",Légère amélioration.,
Les villas du vendoume,143,A créer,1,,Conserver,,,,,,,,,,"Villas luxe Vendôme piscine parc, élégance raffinée couples (avis Booking 9/10).",Tendance stable.,
Les chalets du bonheur,144,A venir,,,Conserver,,,,,,,,,,"Chalets bonheur montagne piscine sauna, bonheur familial ski/nature.",Tendance stable.,
Le domaine du belvedere,145,Publié,1,,Conserver,,PK,,,,,,,,"Domaine belvédère piscine vue panoramique vignes, sublime paysage accueil.",Légère amélioration.,
Les gites de Melodie - estialesq,146,En attente de publication (W HH),1,,Conserver,,,,,,,,,,"Gîtes Mélodie Estialesq Toulouse, moderne centre animé emplacement top.",Tendance stable.,
Maylandie,,,,,,,,,,Vin,,,,,"Domaine Maylandie Tarn vignes piscine œnotourisme, excellence viticole hébergement.",,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
TOTAL,,,74,34,,,,,,,,,,,,,