Type d'offre,Capacité / Détail,Formule Visibilité (HT/an),Service HTA Visibilité,Formule Premium (HT/an),Service HTA Premium,Formule Prestige (HT/an),Service HTA Prestige,Formule Waouh (HT/an),Service HTA Waouh
Petit Chalet,,70,8%,144,5%,216,2%,324,0%
Appartement / petit gîte,,90,8%,144,5%,216,2%,324,0%
Studio & chambre d'hôtes,,90,8%,144,5%,216,2%,324,0%
Chalet,,150,8%,240,5%,360,2%,540,0%
Maison d'hôtes,,150,8%,240,5%,360,2%,540,0%
Villa / gîte,,150,8%,240,5%,360,2%,540,0%
Grand Chalet,Plus de 14 personnes,188,8%,300,5%,450,2%,675,0%
Grand gîte ou multi-gîtes,Plus de 14 personnes,188,8%,300,5%,450,2%,675,0%
Hôtel,Plus de 14 personnes,188,8%,300,5%,450,2%,675,0%
Séminaire - Salle petite capacité,Moins de 20 personnes assises,,,,,,,590,0%
Séminaire - Salle moyenne capacité,Entre 20 et 40 personnes assises,,,,,,,790,0%
Séminaire - Salle grande capacité,Plus de 40 personnes assises,,,,,,,890,0%